"OTU"	"Discrete"	"Continuous"	"Level1"	"N_level1"	"Level2"	"N_level2"	"mean.level1"	"mean.level2"	"median.level1"	"median.level2"	"sd.level1"	"sd.level2"	"statistic"	"EffectSize_r"	"p.value"	"N"	"Dominant"	"q.value"	"Effect_size"	"ColorGroup"
"s_Bacteroides_cellulosilyticus_sv_7"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	28.2340565069189	0	26.3631998844891	0	12.2829081334576	0	-0.841858812378114	8.0339685122472e-12	57	"B2"	3.94013760078906e-10	"Large effect"	"B2 Large effect"
"s_Bacteroides_cellulosilyticus_sv_2"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	64.9217724138802	0	60.8519672930052	0	29.381411357353	0	-0.832380675732055	8.0339685122472e-12	57	"B2"	3.94013760078906e-10	"Large effect"	"B2 Large effect"
"s_Bacteroides_cellulosilyticus_sv_6"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	33.8908445637228	0	31.5020146473834	0	15.5837520738513	0	-0.828443648173449	8.0339685122472e-12	57	"B2"	3.94013760078906e-10	"Large effect"	"B2 Large effect"
"s_Parabacteroides_distasonis_sv_15"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	16.6064421783222	0	15.9965855554138	0	8.17491246715318	0	-0.810779776206543	8.0339685122472e-12	57	"B2"	3.94013760078906e-10	"Large effect"	"B2 Large effect"
"s_Parabacteroides_distasonis_sv_65"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	4.40361185128288	0	4.32916363302948	0	2.22416556768419	0	-0.803802071503063	8.0339685122472e-12	57	"B2"	3.94013760078906e-10	"Large effect"	"B2 Large effect"
"s_Parabacteroides_distasonis_sv_77"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	3.73536117228865	0	3.4817915272824	0	1.99210255736252	0	-0.788441828845107	8.0339685122472e-12	57	"B2"	3.94013760078906e-10	"Large effect"	"B2 Large effect"
"s_Parabacteroides_distasonis_sv_75"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	3.83804437943184	0	3.46387249485818	0	2.11055105042224	0	-0.779448415962594	8.0339685122472e-12	57	"B2"	3.94013760078906e-10	"Large effect"	"B2 Large effect"
"s_Flavonifractor_plautii_sv_239"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.20377017135975	0	1.27255057622293	0	0.73172140295774	54	-0.74840608436428	9.67348959489242e-10	57	"B2"	1.75995101016752e-08	"Large effect"	"B2 Large effect"
"s_Flavonifractor_plautii_sv_124"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.0053100161144769	2.60858503491604	0	2.59956158222012	0.0275916530978504	1.64725762636667	15	-0.735264513589393	4.56816670208024e-11	57	"B2"	1.32125436921705e-09	"Large effect"	"B2 Large effect"
"s_Bacteroides_fragilis_sv_162"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.96663581015784	0	1.30660218148865	0	1.54883051796242	13.5	-0.658492215310684	2.82350876796076e-11	57	"B2"	1.02739286782572e-09	"Large effect"	"B2 Large effect"
"s_Akkermansia_sp004167605_sv_3"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	68.1196495886637	0	57.7203119026971	0	54.1728540677494	27	-0.65490422001327	9.53175614977378e-11	57	"B2"	2.62239535047435e-09	"Large effect"	"B2 Large effect"
"s_Muricomes_contortus_B_sv_76"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	3.22840158177585	0	2.36893789997541	0	2.61328124891973	13.5	-0.648353542978705	2.82350876796076e-11	57	"B2"	1.02739286782572e-09	"Large effect"	"B2 Large effect"
"s_Muricomes_contortus_B_sv_123"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.97107090613978	0	1.48480410107826	0	1.60467619847455	13.5	-0.646227990852692	2.82350876796076e-11	57	"B2"	1.02739286782572e-09	"Large effect"	"B2 Large effect"
"s_Bacteroides_fragilis_sv_67"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	5.05450302786809	0	3.27547296697015	0	4.25394886339536	13.5	-0.633831087641517	2.82350876796076e-11	57	"B2"	1.02739286782572e-09	"Large effect"	"B2 Large effect"
"s_Bacteroides_thetaiotaomicron_sv_41"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	7.70096759628891	0	6.99571100496685	0	6.48498655998234	0	-0.633615425996939	8.0339685122472e-12	57	"B2"	3.94013760078906e-10	"Large effect"	"B2 Large effect"
"s_Bacteroides_fragilis_sv_127"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	2.53620287783888	0	1.53212932100929	0	2.1718164964536	13.5	-0.627327002338831	2.82350876796076e-11	57	"B2"	1.02739286782572e-09	"Large effect"	"B2 Large effect"
"s_Muricomes_contortus_B_sv_135"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.83191376170281	0	1.28913069808167	0	1.57035661179654	13.5	-0.626933749100266	2.82350876796076e-11	57	"B2"	1.02739286782572e-09	"Large effect"	"B2 Large effect"
"s_Bacteroides_fragilis_sv_125"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	2.53617931525267	0	1.77886568340458	0	2.18058420658513	0	-0.62580786068903	8.0339685122472e-12	57	"B2"	3.94013760078906e-10	"Large effect"	"B2 Large effect"
"s_Bacteroides_fragilis_sv_165"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.95243136761447	0	1.30653227604098	0	1.79237607209659	94.5	-0.601011592227144	2.38219074770209e-08	57	"B2"	3.27696483342434e-07	"Large effect"	"B2 Large effect"
"s_Phocaeicola_dorei_sv_128"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	3.11535488623377	0	2.31334081172194	0	3.04050031936136	40.5	-0.577695122747831	3.09456204268974e-10	57	"B2"	6.58616223425288e-09	"Large effect"	"B2 Large effect"
"s_Alistipes_shahii_sv_189"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.17240445378331	0	0.881851023963652	0	1.15058816990726	67.5	-0.575582695646572	2.91498660942603e-09	57	"B2"	4.90761924691426e-08	"Large effect"	"B2 Large effect"
"s_Phocaeicola_dorei_sv_100"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	3.89667663863114	0	2.55722210390079	0	3.82771539817316	40.5	-0.575228845956743	3.09456204268974e-10	57	"B2"	6.58616223425288e-09	"Large effect"	"B2 Large effect"
"s_Barnesiella_intestinihominis_sv_175"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.29189367785114	0	1.11366978949016	0	1.27974174783653	108	-0.572022260905563	6.47534780995653e-08	57	"B2"	7.53009518518656e-07	"Large effect"	"B2 Large effect"
"s_Alistipes_finegoldii_sv_357"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	0.665723847813836	0	0.590496526340043	0	0.669569501794505	81	-0.56621952560814	8.47748090583238e-09	57	"B2"	1.30994499476424e-07	"Large effect"	"B2 Large effect"
"s_Phocaeicola_dorei_sv_17"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	23.6276833809253	0	14.8722963984983	0	23.9954986015366	40.5	-0.562524849929541	3.09456204268974e-10	57	"B2"	6.58616223425288e-09	"Large effect"	"B2 Large effect"
"s_Eubacterium_G_ventriosum_sv_460"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.710605768261708	0	0	0	0.845155155065831	0	600	-0.523269226790936	2.34020570536416e-05	57	"B2"	0.000107306993319137	"Large effect"	"B2 Large effect"
"s_Eubacterium_G_ventriosum_sv_236"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	1.89869043191648	0	0	0	2.27575526083108	0	600	-0.520347832475662	2.34020570536416e-05	57	"B2"	0.000107306993319137	"Large effect"	"B2 Large effect"
"s_Tidjanibacter_inops_sv_122"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	2.14809874375974	0	0.0832707643391467	0	2.43873047147977	189	-0.520217215695274	1.38456702520816e-05	57	"B2"	6.84996317734564e-05	"Large effect"	"B2 Large effect"
"s_CAG-266_sp019117495_sv_331"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	1.31662196522861	0	0	0	1.58451623049287	0	600	-0.518817154086412	2.34020570536416e-05	57	"B2"	0.000107306993319137	"Large effect"	"B2 Large effect"
"s_Lawsonibacter_sp000177015_sv_702"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.259597087600569	0	0	0	0.316709319506808	0	600	-0.513684330109064	2.34020570536416e-05	57	"B2"	0.000107306993319137	"Large effect"	"B2 Large effect"
"s_Thomasclavelia_sp000508865_sv_149"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.30002811050252	0	0.0554644657230039	0	1.50838841429572	189	-0.512031155249767	1.38456702520816e-05	57	"B2"	6.84996317734564e-05	"Large effect"	"B2 Large effect"
"s_Barnesiella_intestinihominis_sv_64"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	2.5879517779885	0	0.00111592403658865	0	3.02711391221671	202.5	-0.50899784767256	3.07727480918181e-05	57	"B2"	0.000134541317238647	"Large effect"	"B2 Large effect"
