"Discrete"	"Continuous"	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"
"Disease_activity"	"Richness"	"SpAHigh"	"SpALow"	65	21	1.12772292989711	0.259436950679322	0.389155426018982	"ns"
"Disease_activity"	"Richness"	"SpAHigh"	"HC"	65	40	2.01109323226231	0.0443156099007453	0.132946829702236	"ns"
"Disease_activity"	"Richness"	"SpALow"	"HC"	21	40	0.449323432287425	0.653198356613833	0.653198356613833	"ns"
"Disease_activity"	"InvSimpson"	"SpAHigh"	"HC"	65	40	0.949162598842985	0.342537920556491	0.513806880834737	"ns"
"Disease_activity"	"InvSimpson"	"SpAHigh"	"SpALow"	65	21	1.24644556817028	0.212600860795194	0.513806880834737	"ns"
"Disease_activity"	"InvSimpson"	"HC"	"SpALow"	40	21	0.453175792069392	0.650422162573163	0.650422162573163	"ns"
"Disease_activity"	"Pielou"	"HC"	"SpAHigh"	40	65	1.26389045119263	0.206269349576851	0.337402659884073	"ns"
"Disease_activity"	"Pielou"	"HC"	"SpALow"	40	21	1.21350944213777	0.224935106589382	0.337402659884073	"ns"
"Disease_activity"	"Pielou"	"SpAHigh"	"SpALow"	65	21	0.290930546209672	0.771104438783994	0.771104438783994	"ns"
