"Discrete"	"Continuous"	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"
"Diagnosis"	"Richness"	"Peripheral"	"Axial"	5	70	1.2051807214825	0.228133543043451	0.228133543043451	"ns"
"Diagnosis"	"Richness"	"Peripheral"	"HC"	5	40	1.94125665527612	0.05222715419052	0.100636146378705	"ns"
"Diagnosis"	"Richness"	"Axial"	"HC"	70	40	1.83106551972503	0.0670907642524702	0.100636146378705	"ns"
"Diagnosis"	"InvSimpson"	"Peripheral"	"Axial"	5	70	0.833955447087891	0.404306090346237	0.517352384283367	"ns"
"Diagnosis"	"InvSimpson"	"Peripheral"	"HC"	5	40	1.08439017377303	0.278191838664965	0.517352384283367	"ns"
"Diagnosis"	"InvSimpson"	"Axial"	"HC"	70	40	0.64743201041016	0.517352384283367	0.517352384283367	"ns"
"Diagnosis"	"Pielou"	"HC"	"Axial"	40	70	1.36944300031665	0.170860840674041	0.256291261011061	"ns"
"Diagnosis"	"Pielou"	"HC"	"Peripheral"	40	5	1.51435245841774	0.129936470256734	0.256291261011061	"ns"
"Diagnosis"	"Pielou"	"Axial"	"Peripheral"	70	5	0.965389046961899	0.334349985466914	0.334349985466914	"ns"
