"Discrete"	"Continuous"	"Mean.Axial"	"Mean.HC"	"Mean.Peripheral"	"SD.Axial"	"SD.HC"	"SD.Peripheral"	"N.Axial"	"N.HC"	"N.Peripheral"	"Kruskal.Wallis.chi.squared"	"Effsize_eta2"	"p.value"	"Total_N"	"p.adjust"
"Diagnosis"	"Richness"	242.757142857143	275.4	197.2	83.3427419119361	71.8380657611805	70.3754218459826	70	40	5	5.62890547008482	0.0324009416971859	0.0599375114658092	115	0.179812534397428
"Diagnosis"	"InvSimpson"	40.5387787070372	42.9583753397649	36.1354630114722	12.0919063940022	12.3351418841584	6.30436910876051	70	40	5	1.31465410152066	-0.00611915980785126	0.518234699882347	115	0.518234699882347
"Diagnosis"	"Pielou"	0.792781555181669	0.786945608881066	0.810525849050165	0.0292648877650775	0.0351647356736321	0.0327602944486972	70	40	5	3.29901049475268	0.0115983079888632	0.192144949325798	115	0.288217423988698
