Feature	Level1	N_level1	Level2	N_level2	mean.level1	mean.level2	median.level1	median.level2	sd.level1	sd.level2	statistic	EffectSize_r	p.value	N	Dominant	q.value
Lachnoclostridium_species_incertae_sedis__ext_mOTU_v26_16281_	HC	40	SpA	89	0.225	0.179775280898876	0	0	0.47971679679599	0.386175824087028	1824	0.0502782200619647	0.74265073873781	129	SpA	0.87785125784136
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12776_	HC	40	SpA	89	2.85	1.62921348314607	1	1	4.91752491422782	2.32272382457982	1842	0.167245139585561	0.74089054296839	129	SpA	0.87785125784136
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13922_	HC	40	SpA	89	1.2	1.24719101123595	0	0	4.0395480833812	3.60643647737941	1821.5	0.00585146702666511	0.754327647347537	129	SpA	0.889373517716661
Clostridium_sp__Marseille_P3244__ref_mOTU_v25_10248_	HC	40	SpA	89	0.275	0.292134831460674	0	0	0.505736325340815	0.481528041074624	1732.5	0.0162656690695558	0.756631782870504	129	SpA	0.88981441812067
Clostridium__spiroforme__ref_mOTU_v25_11181_	HC	40	SpA	89	0.275	0.258426966292135	0	0	0.452202586776303	0.465346642242505	1824	0.0166781895059284	0.769739337034907	129	SpA	0.89862866332148
Ruminococcus_sp__CAG_254__meta_mOTU_v25_12276_	HC	40	SpA	89	6.525	10.561797752809	0	0	16.5993319297139	27.0898987615897	1732.5	0.0767383720807061	0.770243906219969	129	SpA	0.89862866332148
Dorea_formicigenerans__ref_mOTU_v25_03668_	HC	40	SpA	89	10.025	10.2247191011236	8	8	7.26243407666801	8.62047352763488	1838	0.0112712408007917	0.769335588182492	129	SpA	0.89862866332148
Clostridium_sp__CAG_138__meta_mOTU_v25_12233_	HC	40	SpA	89	16.025	9	0	0	32.1211548631675	17.2699160391705	1832	0.141130733935821	0.771923971096109	129	SpA	0.89862866332148
Lachnospiraceae_species_incertae_sedis__ext_mOTU_v26_16268_	HC	40	SpA	89	0.675	0.606741573033708	0	0	0.997111212067525	0.820448568108406	1826.5	0.0360557514647281	0.792845197761124	129	SpA	0.899953088049859
Bacteroidales_species_incertae_sedis__meta_mOTU_v25_13203_	HC	40	SpA	89	0.2	0.179775280898876	0	0	0.405095746833467	0.386175824087028	1816	0.0239451386852159	0.788555218542944	129	SpA	0.899953088049859
Roseburia_inulinivorans__ref_mOTU_v25_00860_	HC	40	SpA	89	13.25	15.8089887640449	7	6	15.383557655947	21.6998514890678	1831.5	0.059384328117351	0.794517889135549	129	HC	0.899953088049859
Ruminococcus_species_incertae_sedis__ext_mOTU_v26_16285_	HC	40	SpA	89	0.475	0.617977528089888	0	0	0.846940194056046	1.2568504826959	1733.5	0.0578009983174306	0.775566184301086	129	SpA	0.899953088049859
Sutterellaceae_species_incertae_sedis__ext_mOTU_v26_17688_	HC	40	SpA	89	0.875	0.932584269662921	0	0	1.84234382492269	2.15215406263009	1822	0.0129664867371885	0.794535589666578	129	SpA	0.899953088049859
Clostridiales_species_incertae_sedis__ext_mOTU_v26_26501_	HC	40	SpA	89	0.975	1.0561797752809	0	0	1.71699648312887	2.07998880330136	1826.5	0.0190766269595332	0.788874499603377	129	SpA	0.899953088049859
Massilioclostridium_coli__ref_mOTU_v25_10237_	HC	40	SpA	89	0.225	0.235955056179775	0	0	0.47971679679599	0.452831292840149	1742	0.0110277280172115	0.789551814937688	129	SpA	0.899953088049859
Clostridiales_species_incertae_sedis__ext_mOTU_v26_17847_	HC	40	SpA	89	0.425	0.460674157303371	0	0	0.812955986445414	1.09809938877135	1819.5	0.0162530395431237	0.788183802698388	129	SpA	0.899953088049859
Christensenella_minuta__ref_mOTU_v25_06399_	HC	40	SpA	89	0.275	0.247191011235955	0	0	0.640012019117911	0.626695860634539	1816.5	0.0204658566593695	0.786494074369293	129	SpA	0.899953088049859
Ruminococcus_species_incertae_sedis__ext_mOTU_v26_26707_	HC	40	SpA	89	5.15	2.32584269662921	0	0	20.2504194321868	6.73318660357864	1819	0.103973773839969	0.791132636375656	129	SpA	0.899953088049859
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_17772_	HC	40	SpA	89	0.775	0.606741573033708	0	0	1.38651934621768	1.19295257781319	1823	0.062105125548283	0.789612309644299	129	SpA	0.899953088049859
Lachnospiraceae_species_incertae_sedis__ext_mOTU_v26_17986_	HC	40	SpA	89	1	1.14606741573034	0	0	1.53589529557661	1.95140137172886	1825.5	0.0369597572860424	0.796552316543496	129	SpA	0.900026024329783
Eubacterium__hallii__ref_mOTU_v25_03632_	HC	40	SpA	89	7.55	7.8314606741573	5	5	6.3040483533223	7.70365314028496	1830.5	0.0178944151992013	0.79851829146963	129	SpA	0.900041399431539
Actinomyces_sp___ref_mOTU_v25_01913_	HC	40	SpA	89	0.475	0.449438202247191	0	0	0.846940194056046	0.839524161153428	1819	0.0140985032713646	0.809476365988861	129	SpA	0.908027927357024
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12253_	HC	40	SpA	89	9.925	11.9887640449438	1	1	16.9424175612724	25.1556492760674	1734.5	0.0417220054247568	0.80954333653739	129	SpA	0.908027927357024
Ruminococcaceae_species_incertae_sedis__ext_mOTU_v26_17614_	HC	40	SpA	89	0.75	0.797752808988764	0	0	2.08474311274887	1.9724222261479	1743.5	0.0110442720542964	0.812783550753443	129	SpA	0.909449555576061
Candidatus_Pseudobutyricicoccus_lothianensis__mags_db_all_58_	HC	40	SpA	89	0.8	0.910112359550562	0	0	1.96377449224962	2.49381256785579	1744.5	0.0218094045307453	0.817961101757164	129	SpA	0.911668606055131
Eggerthellaceae_species_incertae_sedis__meta_mOTU_v25_12569_	HC	40	SpA	89	6.225	5.66292134831461	0.5	1	10.1007425469616	10.1857117172501	1822.5	0.0256809142268495	0.819390041684565	129	SpA	0.911668606055131
Ruminococcus__torques__ref_mOTU_v25_03659_	HC	40	SpA	89	6.125	6.76404494382022	3	3	8.20002345212406	8.6300511848136	1735.5	0.0348873925330182	0.820699504366333	129	SpA	0.911668606055131
Flavonifractor_plautii__ref_mOTU_v25_05238_	HC	40	SpA	89	1.35	1.64044943820225	1	1	1.92886309014218	3.14515208120239	1820.5	0.0476379935638197	0.830038137293576	129	SpA	0.919825916568121
Prevotella_copri__ref_mOTU_v25_03701_	HC	40	SpA	89	92.25	49.752808988764	0	1	155.359591155817	92.0189309696252	1819	0.168766917785319	0.833148705986325	129	SpA	0.921058881198312
Actinomyces_naeslundii__ref_mOTU_v25_02018_	HC	40	SpA	89	0.25	0.247191011235955	0	0	0.493548116792825	0.433822829264449	1751.5	0.00287929574957566	0.84741002474161	129	SpA	0.93292905332354
Pseudoflavonifractor_species_incertae_sedis__meta_mOTU_v25_14283_	HC	40	SpA	89	1.325	1.50561797752809	0	0	1.89989878272907	2.75154335000302	1814.5	0.0332518951293426	0.847933347814671	129	SpA	0.93292905332354
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13486_	HC	40	SpA	89	4.3	7.55056179775281	0	0	9.10114109498195	15.4625730217685	1751	0.108534222615801	0.85145583751593	129	SpA	0.933356888174859
Ruminococcaceae_species_incertae_sedis__ext_mOTU_v26_17393_	HC	40	SpA	89	1.4	1.33707865168539	0	0	2.29603895258658	2.17393558188787	1746.5	0.0132063825755427	0.852371474884199	129	SpA	0.933356888174859
Clostridium_species_incertae_sedis__meta_mOTU_v25_12640_	HC	40	SpA	89	11.375	7.47191011235955	1	1	23.8410199188128	15.423631431582	1814.5	0.097902675188331	0.85541261523878	129	SpA	0.933397180868024
Clostridiales_species_incertae_sedis__ext_mOTU_v26_26949_	HC	40	SpA	89	0.625	0.539325842696629	0	0	1.39021304399445	1.2527803603411	1805	0.0306688925628569	0.856457716935302	129	SpA	0.933397180868024
Clostridiales_sp___ref_mOTU_v25_03605_	HC	40	SpA	89	13.375	9.50561797752809	0	0	41.860383021022	33.3129525708659	1754.5	0.0496353536729108	0.866643638220308	129	SpA	0.934982177461334
Actinomyces_species_incertae_sedis__ext_mOTU_v26_19569_	HC	40	SpA	89	0.35	0.393258426966292	0	0	0.769615288509585	1.1141443672581	1754.5	0.019673758993547	0.864335933529367	129	SpA	0.934982177461334
