"OTU"	"Discrete"	"Continuous"	"Level1"	"N_level1"	"Level2"	"N_level2"	"mean.level1"	"mean.level2"	"median.level1"	"median.level2"	"sd.level1"	"sd.level2"	"statistic"	"EffectSize_r"	"p.value"	"N"	"Dominant"	"q.value"	"Effect_size"	"ColorGroup"
"s_Bacteroides_cellulosilyticus"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	127.053698566084	0	122.411643847401	0	56.9175167009933	0	-0.834865681213486	8.0339685122472e-12	57	"B2"	4.63961681582276e-10	"Large effect"	"B2 Large effect"
"s_Akkermansia_sp004167605"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	68.1196495886637	0	57.7203119026971	0	54.1728540677494	27	-0.65490422001327	9.53175614977378e-11	57	"B2"	2.44648407844194e-09	"Large effect"	"B2 Large effect"
"s_Muricomes_contortus_B"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	7.03138624961844	0	4.95356988441998	0	5.72212195566034	13.5	-0.646372569615125	2.82350876796076e-11	57	"B2"	9.31757893427052e-10	"Large effect"	"B2 Large effect"
"s_Bacteroides_fragilis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	14.0459523987319	0	9.45229933855628	0	11.6633375797174	0	-0.638862965767563	8.0339685122472e-12	57	"B2"	4.63961681582276e-10	"Large effect"	"B2 Large effect"
"s_Phocaeicola_dorei"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	30.6397149057902	0	19.7269872611459	0	30.7746049027742	40.5	-0.566741058675044	3.09456204268974e-10	57	"B2"	5.95703193217775e-09	"Large effect"	"B2 Large effect"
"s_Eubacterium_G_ventriosum"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	2.60929620017819	0	0	0	3.09198871450464	0	600	-0.52465424623235	2.34020570536416e-05	57	"B2"	9.48399154279159e-05	"Large effect"	"B2 Large effect"
"s_Limivivens_faecihominis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.245551777994698	0	0	0	0.292773747615611	0	600	-0.522329661843094	2.34020570536416e-05	57	"B2"	9.48399154279159e-05	"Large effect"	"B2 Large effect"
"s_Tidjanibacter_inops"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	2.14809874375974	0	0.0832707643391467	0	2.43873047147977	189	-0.520217215695274	1.38456702520816e-05	57	"B2"	6.0346223174167e-05	"Large effect"	"B2 Large effect"
"s_Thomasclavelia_sp000508865"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.30002811050252	0	0.0554644657230039	0	1.50838841429572	189	-0.512031155249767	1.38456702520816e-05	57	"B2"	6.0346223174167e-05	"Large effect"	"B2 Large effect"
"uc_g_Dialister"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	1.64419109738702	18.1698966436421	0.997769773503185	14.6528956089905	1.82019225332351	19.3082999217012	76	-0.507932682329407	1.28223542737565e-07	57	"B2"	1.34634719874444e-06	"Large effect"	"B2 Large effect"
"s_Enterocloster_sp001517625"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.318878445700274	0.00234169385402309	0	0	0.395602755201862	0.0128259854661966	577.5	-0.504426149297485	0.000183736198534216	57	"B2"	0.000537253947612706	"Large effect"	"B2 Large effect"
"s_Alistipes_finegoldii"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.0978612923902592	1.22806666160217	0	0.913363219681133	0.232966133781871	1.32689374937047	92	-0.50251540739517	2.08440455845176e-07	57	"B2"	1.75374536522555e-06	"Large effect"	"B2 Large effect"
"s_Bacteroides_intestinigallinarum"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.0089249967296303	25.7632321988004	0	5.57020923481481	0.0463756433793172	30.791167964986	130	-0.500815758965894	5.61250358152281e-07	57	"B2"	3.92875250706596e-06	"Large effect"	"B2 Large effect"
