"Discrete"	"Continuous"	"Level1"	"N_level1"	"Level2"	"N_level2"	"mean.level1"	"mean.level2"	"median.level1"	"median.level2"	"sd.level1"	"sd.level2"	"statistic"	"EffectSize_r"	"p.value"	"N"	"Dominant"	"p.adjust"
"Disease"	"Richness"	"HC"	29	"SpA"	91	94.9655172413793	88.1978021978022	97	88	33.0221600472651	22.2082165876705	1471	0.114696748735735	0.354510806543414	120	"HC"	0.354510806543414
"Disease"	"InvSimpson"	"HC"	29	"SpA"	91	11.8071849178054	8.16840836476375	11.7020407656973	7.35092940005684	4.7607479368726	3.40562006367672	1908	0.382889934666608	0.000312649139528347	120	"HC"	0.000468973709292521
"Disease"	"Pielou"	"HC"	29	"SpA"	91	0.679832137141235	0.604395710964539	0.671190970479019	0.611949652356765	0.0879712679979021	0.0830817201690726	1919	0.358975124114969	0.000240640628120987	120	"HC"	0.000468973709292521
