"Feature"	"Variable2Test"	"Varaible"	"Estimate"	"Std..Error"	"t.value"	"p.value"	"q.value"
"Tryptamine"	"NSAID_use"	"(Intercept)"	-1.30526095488368	0.691833832021307	-1.88666829297744	0.0625403408195332	0.125080681639066
"Tryptamine"	"NSAID_use"	"Water"	-0.0131373722182495	0.073676776120453	-0.178310899445049	0.858893372862202	0.858893372862202
"Tryptamine"	"NSAID_use"	"Age_at_visit"	0.00693399931161549	0.00937589882378327	0.739555688679834	0.461560520868757	0.61541402782501
"Tryptamine"	"NSAID_use"	"NSAID_useNO"	-0.485774150591207	0.153632580626751	-3.16192144016244	0.00215794808696452	0.00863179234785806
"Tryptamine"	"Disease"	"(Intercept)"	-1.64389266543194	0.648586125960207	-2.53457883175996	0.0130265084383054	0.0260530168766108
"Tryptamine"	"Disease"	"Water"	-0.0433775885967062	0.0702999204073981	-0.617036098267635	0.538804147035684	0.538804147035684
"Tryptamine"	"Disease"	"Age_at_visit"	0.0078850658299809	0.00937340983681557	0.841216373470735	0.40250682356415	0.536675764752201
"Tryptamine"	"Disease"	"DiseaseSpA"	0.427457745389682	0.151789433241829	2.81612320607759	0.00599899249433414	0.0239959699773366
"Tryptamine"	"Disease_activity"	"(Intercept)"	-1.66398477234443	0.665904335520896	-2.49883456764522	0.0143844224973919	0.0359610562434797
"Tryptamine"	"Disease_activity"	"Water"	-0.0438428723065164	0.0717580842350785	-0.610981644421941	0.542842170947557	0.542842170947557
"Tryptamine"	"Disease_activity"	"Age_at_visit"	0.00871315335400251	0.00962886415455435	0.904899395624071	0.368076419354125	0.460095524192656
"Tryptamine"	"Disease_activity"	"Disease_activitySpAHigh"	0.365540628273968	0.166753664951335	2.19209951625739	0.0311061665825013	0.0518436109708355
"Tryptamine"	"Disease_activity"	"Disease_activitySpALow"	0.567707480214788	0.222443029145453	2.55214776743384	0.0124940486645821	0.0359610562434797
"Tryptamine"	"Fecal_calpro_values"	"(Intercept)"	-1.61355171460876	0.679980993402069	-2.37293649420386	0.01993060019947	0.0398612003989399
"Tryptamine"	"Fecal_calpro_values"	"Water"	-0.0442434015862492	0.0736582547952651	-0.600657749891371	0.549685240908939	0.549685240908939
"Tryptamine"	"Fecal_calpro_values"	"Age_at_visit"	0.0109674007897153	0.00958823107904805	1.14383984900833	0.255939264699984	0.341252352933312
"Tryptamine"	"Fecal_calpro_values"	"Fecal_calpro_values"	0.00163185069951754	0.000617009925566338	2.644772202035	0.00975444410691329	0.0390177764276532
