Feature	Level1	N_level1	Level2	N_level2	mean.level1	mean.level2	median.level1	median.level2	sd.level1	sd.level2	statistic	EffectSize_r	p.value	N	Dominant	q.value
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12411_	Non_responder	15	Responder	49	0.266666666666667	7.53061224489796	0	0	0.703731550548997	18.0728871988036	232.5	0.191351214196833	0.0163161965353322	64	Responder	0.275743721447114
Coprococcus_catus__ref_mOTU_v25_11851_	Non_responder	15	Responder	49	5	7.83673469387755	2	7	7.54983443527075	5.81430326427678	215.5	0.190259782253211	0.0160407107364109	64	Responder	0.275743721447114
Lachnospiraceae_species_incertae_sedis__meta_mOTU_v25_12240_	Non_responder	15	Responder	49	24.4666666666667	49.2040816326531	15	37	26.5998567844337	40.2191805360726	212.5	0.270454687586497	0.0143064835295817	64	Responder	0.275743721447114
Collinsella_aerofaciens__ref_mOTU_v25_03626_	Non_responder	15	Responder	49	7.6	22.0408163265306	5	15	7.86311461372473	27.0169385013623	217	0.248111289877056	0.0171711739459859	64	Responder	0.280831780342415
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12252_	Non_responder	15	Responder	49	7.66666666666667	26.7551020408163	2	7	13.7563837994618	46.2878361506585	218	0.193796819186129	0.017867081170244	64	Responder	0.283081567291053
Faecalibacterium_prausnitzii__ref_mOTU_v25_06108_	Non_responder	15	Responder	49	50.6	80.6938775510204	7	52	74.4396207866291	72.6114672077904	221	0.173260705521912	0.0206561972084284	64	Responder	0.317354302565854
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13690_	Non_responder	15	Responder	49	1.2	0.102040816326531	0	0	2.78259899066631	0.420560041253707	445.5	0.322868196965559	0.0233727880664196	64	Responder	0.348529516166904
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13923_	Non_responder	15	Responder	49	0.866666666666667	0.224489795918367	0	0	1.35576371027375	0.510934850806546	475.5	0.329271697080601	0.0242307082068061	64	Responder	0.350999116024306
Clostridium_species_incertae_sedis__ext_mOTU_v26_18071_	Non_responder	15	Responder	49	0.4	0.0612244897959184	0	0	0.828078671210825	0.242226070825902	444.5	0.307355881247926	0.0250485182824194	64	Responder	0.352766632477407
Haemophilus_influenzae_parainfluenzae__ref_mOTU_v25_01068_	Non_responder	15	Responder	49	0.333333333333333	1.48979591836735	0	0	1.29099444873581	4.31626019151028	250	0.127303188642198	0.0257639445921117	64	Responder	0.353035673194611
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13377_	Non_responder	15	Responder	49	1.33333333333333	2.08163265306122	1	2	2.05866345916355	1.6309089323375	231.5	0.180900174314894	0.0276617736940879	64	Responder	0.369066296392172
Alistipes_species_incertae_sedis__ext_mOTU_v26_26506_	Non_responder	15	Responder	49	0.4	0.346938775510204	0	0	0.632455532033676	1.29985608831906	450.5	0.0191564756339805	0.0304790544761864	64	Responder	0.383981068964032
Eubacterium__eligens__ref_mOTU_v25_02376_	Non_responder	15	Responder	49	2.33333333333333	6.79591836734694	0	2	3.90360029179413	10.3218610883179	234	0.201297951985655	0.0317223282859887	64	Responder	0.383981068964032
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13280_	Non_responder	15	Responder	49	2.4	8.73469387755102	0	2	4.86679712806218	13.8289784965667	239.5	0.21328900484417	0.0318090826360737	64	Responder	0.383981068964032
Roseburia_species_incertae_sedis__meta_mOTU_v25_12366_	Non_responder	15	Responder	49	8.2	41.9183673469388	1	16	14.1985914794391	63.4713966860578	232.5	0.247836163596808	0.0303680970270684	64	Responder	0.383981068964032
Christensenella_minuta__ref_mOTU_v25_06399_	Non_responder	15	Responder	49	0.4	0.122448979591837	0	0	0.632455532033676	0.389050824723052	452.5	0.251666523322112	0.0336460510739927	64	Responder	0.396710416151495
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_26216_	Non_responder	15	Responder	49	2.33333333333333	4.75510204081633	0	2	5.27347359996462	6.23341336483236	240	0.1689891830359	0.0344472261845238	64	Responder	0.396925992626218
Clostridiales_species_incertae_sedis__ext_mOTU_v26_28979_	Non_responder	15	Responder	49	0	0.387755102040816	0	0	0	0.785714285714286	277.5	0.232813302782711	0.0369612663614788	64	Responder	0.416430267672662
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_16208_	Non_responder	15	Responder	49	2.46666666666667	0.918367346938776	1	0	4.40562411123825	1.70583233219981	485	0.248477775502223	0.0397226600824523	64	Non_responder	0.428497631102198
Bacteroides_eggerthii__ref_mOTU_v25_01577_	Non_responder	15	Responder	49	1.66666666666667	8.59183673469388	0	0	6.45497224367903	27.648024618517	262	0.11972078704183	0.0391910614317897	64	Responder	0.428497631102198
Ruminococcus__torques__ref_mOTU_v25_03659_	Non_responder	15	Responder	49	4.8	8.14285714285714	2	6	7.2525857457875	7.88194138521722	240	0.181219817404571	0.0430603168137853	64	Responder	0.454824596345607
Clostridium_species_incertae_sedis__meta_mOTU_v25_12762_	Non_responder	15	Responder	49	0	1.16326530612245	0	0	0	4.38912927382105	285	0.12755417655473	0.0479256820812994	64	Responder	0.458458883306015
uncultured_Blautia_sp___ref_mOTU_v25_03662_	Non_responder	15	Responder	49	0.133333333333333	1.22448979591837	0	0	0.351865775274498	2.33867222053499	263	0.220063201126315	0.0476664205009761	64	Responder	0.458458883306015
Adlercreutzia_equolifaciens__ref_mOTU_v25_08094_	Non_responder	15	Responder	49	0.466666666666667	2.77551020408163	0	1	0.833809387832792	7.0215896411308	250	0.157238015265541	0.0471428028023955	64	Responder	0.458458883306015
Anaerostipes_hadrus__ref_mOTU_v25_00856_	Non_responder	15	Responder	49	4.93333333333333	11.734693877551	0	6	8.62278266874337	15.7807576790587	241.5	0.196629801509014	0.0443891716332534	64	Responder	0.458458883306015
