"Feature"	"Variable"	"Estimate"	"Std..Error"	"t.value"	"Pr...t.."	"q.value"
"Tryptamine"	"(Intercept)"	-1.64389266543194	0.648586125960207	-2.53457883175996	0.0130265084383054	0.0260530168766108
"Tryptamine"	"Water"	-0.0433775885967062	0.0702999204073981	-0.617036098267635	0.538804147035684	0.538804147035684
"Tryptamine"	"Age_at_visit"	0.0078850658299809	0.00937340983681557	0.841216373470735	0.40250682356415	0.536675764752201
"Tryptamine"	"DiseaseSpA"	0.427457745389682	0.151789433241829	2.81612320607759	0.00599899249433414	0.0239959699773366
