"Discrete"	"Continuous"	"Level1"	"N_level1"	"Level2"	"N_level2"	"mean.level1"	"mean.level2"	"median.level1"	"median.level2"	"sd.level1"	"sd.level2"	"statistic"	"EffectSize_r"	"p.value"	"N"	"Dominant"	"p.adjust"
"Disease"	"Richness"	"HC"	40	"SpA"	89	147.375	145.887640449438	147	146	3.03557961347476	3.95554329749344	2134	0.183588583861371	0.0702714069926919	129	"HC"	0.0702714069926919
"Disease"	"InvSimpson"	"HC"	40	"SpA"	89	60.5146423672441	61.5824774101099	60.3237164207587	61.336789357723	2.87698999593897	3.33594638965118	1419	0.153015022973396	0.0664035960419185	129	"SpA"	0.0702714069926919
"Disease"	"Pielou"	"HC"	40	"SpA"	89	0.879519518455363	0.882816408798107	0.879797902053055	0.882643138963443	0.00632269883279875	0.00760282230341118	1351	0.207007763488818	0.0291132305962738	129	"SpA"	0.0702714069926919
