"Discrete"	"Continuous"	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"
"Disease_activity"	"Richness"	"SpAHigh"	"SpALow"	65	21	0.771964255948375	0.440135598117152	0.527443075384905	"ns"
"Disease_activity"	"Richness"	"SpAHigh"	"HC"	65	40	1.8115853515364	0.0700502900323786	0.210150870097136	"ns"
"Disease_activity"	"Richness"	"SpALow"	"HC"	21	40	0.631913998889122	0.527443075384905	0.527443075384905	"ns"
"Disease_activity"	"InvSimpson"	"HC"	"SpALow"	40	21	1.42146704666721	0.155181027021018	0.232771540531526	"ns"
"Disease_activity"	"InvSimpson"	"HC"	"SpAHigh"	40	65	1.56341912332889	0.117954045041697	0.232771540531526	"ns"
"Disease_activity"	"InvSimpson"	"SpALow"	"SpAHigh"	21	65	-0.274385869543353	0.78378810093684	0.78378810093684	"ns"
"Disease_activity"	"Pielou"	"HC"	"SpAHigh"	40	65	1.78537956541062	0.0741997709145649	0.137542003768274	"ns"
"Disease_activity"	"Pielou"	"HC"	"SpALow"	40	21	1.68652528490106	0.091694669178849	0.137542003768274	"ns"
"Disease_activity"	"Pielou"	"SpAHigh"	"SpALow"	65	21	0.381246897093443	0.703020053249916	0.703020053249916	"ns"
